"","variable","clase"
"1","Id","integer"
"2","MSSubClass","integer"
"3","MSZoning","factor"
"4","LotFrontage","integer"
"5","LotArea","integer"
"6","Street","factor"
"7","Alley","factor"
"8","LotShape","factor"
"9","LandContour","factor"
"10","Utilities","factor"
"11","LotConfig","factor"
"12","LandSlope","factor"
"13","Neighborhood","factor"
"14","Condition1","factor"
"15","Condition2","factor"
"16","BldgType","factor"
"17","HouseStyle","factor"
"18","OverallQual","integer"
"19","OverallCond","integer"
"20","YearBuilt","integer"
"21","YearRemodAdd","integer"
"22","RoofStyle","factor"
"23","RoofMatl","factor"
"24","Exterior1st","factor"
"25","Exterior2nd","factor"
"26","MasVnrType","factor"
"27","MasVnrArea","integer"
"28","ExterQual","factor"
"29","ExterCond","factor"
"30","Foundation","factor"
"31","BsmtQual","factor"
"32","BsmtCond","factor"
"33","BsmtExposure","factor"
"34","BsmtFinType1","factor"
"35","BsmtFinSF1","integer"
"36","BsmtFinType2","factor"
"37","BsmtFinSF2","integer"
"38","BsmtUnfSF","integer"
"39","TotalBsmtSF","integer"
"40","Heating","factor"
"41","HeatingQC","factor"
"42","CentralAir","factor"
"43","Electrical","factor"
"44","X1stFlrSF","integer"
"45","X2ndFlrSF","integer"
"46","LowQualFinSF","integer"
"47","GrLivArea","integer"
"48","BsmtFullBath","integer"
"49","BsmtHalfBath","integer"
"50","FullBath","integer"
"51","HalfBath","integer"
"52","BedroomAbvGr","integer"
"53","KitchenAbvGr","integer"
"54","KitchenQual","factor"
"55","TotRmsAbvGrd","integer"
"56","Functional","factor"
"57","Fireplaces","integer"
"58","FireplaceQu","factor"
"59","GarageType","factor"
"60","GarageYrBlt","integer"
"61","GarageFinish","factor"
"62","GarageCars","integer"
"63","GarageArea","integer"
"64","GarageQual","factor"
"65","GarageCond","factor"
"66","PavedDrive","factor"
"67","WoodDeckSF","integer"
"68","OpenPorchSF","integer"
"69","EnclosedPorch","integer"
"70","X3SsnPorch","integer"
"71","ScreenPorch","integer"
"72","PoolArea","integer"
"73","PoolQC","factor"
"74","Fence","factor"
"75","MiscFeature","factor"
"76","MiscVal","integer"
"77","MoSold","integer"
"78","YrSold","integer"
"79","SaleType","factor"
"80","SaleCondition","factor"
"81","SalePrice","integer"
