"","Id_test","Id","MSZoning","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","SaleType","SaleCondition","Years_S_B","Years_S_R","Years_S_G","Years_B_R","Years_B_G","Years_R_G"
"1",1461,1461,"RH",11622,"Reg","Lvl","Inside","NAmes","Feedr","1Fam",5,6,"Gable","None",0,"TA","TA","CBlock","TA","No","Rec",468,"LwQ",144,270,882,"TA",896,0,896,0,1,0,2,"TA",5,0,"Attchd","Unf",1,730,140,0,0,"6","WD","Normal",49,49,49,0,0,0
"2",1462,1462,"RL",14267,"IR1","Lvl","Corner","NAmes","Norm","1Fam",6,6,"Hip","BrkFace",108,"TA","TA","CBlock","TA","No","ALQ",923,"Unf",0,406,1329,"TA",1329,0,1329,0,1,1,3,"Gd",6,0,"Attchd","Unf",1,312,393,36,0,"6","WD","Normal",52,52,52,0,0,0
"3",1463,1463,"RL",13830,"IR1","Lvl","Inside","Gilbert","Norm","1Fam",5,5,"Gable","None",0,"TA","TA","PConc","Gd","No","GLQ",791,"Unf",0,137,928,"Gd",928,701,1629,0,2,1,3,"TA",6,1,"Attchd","Fin",2,482,212,34,0,"3","WD","Normal",13,12,13,1,0,1
"4",1464,1464,"RL",9978,"IR1","Lvl","Inside","Gilbert","Norm","1Fam",6,6,"Gable","BrkFace",20,"TA","TA","PConc","TA","No","GLQ",602,"Unf",0,324,926,"Ex",926,678,1604,0,2,1,3,"Gd",7,1,"Attchd","Fin",2,470,360,36,0,"6","WD","Normal",12,12,12,0,0,0
"5",1465,1465,"RL",5005,"IR1","HLS","Inside","StoneBr","Norm","TwnhsE",8,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","ALQ",263,"Unf",0,1017,1280,"Ex",1280,0,1280,0,2,0,2,"Gd",5,0,"Attchd","RFn",2,506,0,82,0,"1","WD","Normal",18,18,18,0,0,0
"6",1466,1466,"RL",10000,"IR1","Lvl","Corner","Gilbert","Norm","1Fam",6,5,"Gable","None",0,"TA","TA","PConc","Gd","No","Unf",0,"Unf",0,763,763,"Gd",763,892,1655,0,2,1,3,"TA",7,1,"Attchd","Fin",2,440,157,84,0,"4","WD","Normal",17,16,17,1,0,1
"7",1467,1467,"RL",7980,"IR1","Lvl","Inside","Gilbert","Norm","1Fam",6,7,"Gable","None",0,"TA","Gd","PConc","Gd","No","ALQ",935,"Unf",0,233,1168,"Ex",1187,0,1187,1,2,0,3,"TA",6,0,"Attchd","Fin",2,420,483,21,0,"3","WD","Normal",18,3,18,15,0,15
"8",1468,1468,"RL",8402,"IR1","Lvl","Inside","Gilbert","Norm","1Fam",6,5,"Gable","None",0,"TA","TA","PConc","Gd","No","Unf",0,"Unf",0,789,789,"Gd",789,676,1465,0,2,1,3,"TA",7,1,"Attchd","Fin",2,393,0,75,0,"5","WD","Normal",12,12,12,0,0,0
"9",1469,1469,"RL",10176,"Reg","Lvl","Inside","Gilbert","Norm","1Fam",7,5,"Gable","None",0,"TA","TA","PConc","Gd","Gd","GLQ",637,"Unf",0,663,1300,"Gd",1341,0,1341,1,1,1,2,"Gd",5,1,"Attchd","Unf",2,506,192,0,0,"2","WD","Normal",20,20,20,0,0,0
"10",1470,1470,"RL",8400,"Reg","Lvl","Corner","NAmes","Norm","1Fam",4,5,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",804,"Rec",78,0,882,"TA",882,0,882,1,1,0,2,"TA",4,0,"Attchd","Fin",2,525,240,0,0,"4","WD","Normal",40,40,40,0,0,0
"11",1471,1471,"RH",5858,"IR1","Lvl","FR2","NAmes","Norm","TwnhsE",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","GLQ",1051,"BLQ",0,354,1405,"Ex",1337,0,1337,1,2,0,2,"Gd",5,1,"Attchd","Fin",2,511,203,68,0,"6","WD","Normal",11,11,11,0,0,0
"12",1472,1472,"RM",1680,"Reg","Lvl","Inside","BrDale","Norm","Twnhs",6,5,"Gable","BrkFace",504,"TA","TA","CBlock","TA","No","Rec",156,"Unf",0,327,483,"TA",520,504,987,0,1,1,2,"TA",5,0,"Detchd","Unf",1,264,275,0,0,"2","COD","Normal",39,39,39,0,0,0
"13",1473,1473,"RM",1680,"Reg","Lvl","Inside","BrDale","Norm","Twnhs",5,5,"Gable","BrkFace",492,"TA","TA","CBlock","TA","No","Rec",300,"Unf",0,225,525,"TA",525,567,1092,0,1,1,3,"TA",6,0,"Detchd","Unf",1,320,0,0,0,"3","WD","Normal",39,39,13,0,26,-26
"14",1474,1474,"RL",2280,"Reg","Lvl","FR2","NPkVill","Norm","Twnhs",6,6,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",514,"Unf",0,341,855,"TA",855,601,1456,0,2,1,3,"Gd",6,1,"Attchd","Unf",2,440,173,0,0,"6","WD","Normal",35,35,35,0,0,0
"15",1475,1475,"RL",2280,"Reg","Lvl","FR2","NPkVill","Norm","Twnhs",7,6,"Gable","None",0,"TA","TA","CBlock","Gd","No","Unf",0,"Unf",0,836,836,"Ex",836,0,836,0,1,0,2,"TA",4,0,"Attchd","Unf",1,308,0,30,0,"6","WD","Normal",35,35,35,0,0,0
"16",1476,1476,"RL",12858,"IR1","Lvl","Inside","NridgHt","Norm","1Fam",9,5,"Gable","Stone",162,"Ex","TA","PConc","Ex","No","Unf",0,"Unf",0,1590,1590,"Ex",1627,707,2334,0,2,1,3,"Ex",10,1,"Attchd","Fin",3,751,144,133,0,"1","New","Partial",1,1,1,0,0,0
"17",1477,1477,"RL",12883,"IR1","Lvl","Corner","NridgHt","Norm","1Fam",8,5,"Gable","Stone",256,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,1544,1544,"Ex",1544,0,1544,0,2,0,3,"Gd",7,0,"Attchd","RFn",3,868,0,35,0,"6","New","Partial",1,1,1,0,0,0
"18",1478,1478,"RL",11520,"Reg","Lvl","Inside","NridgHt","PosN","1Fam",9,5,"Hip","BrkFace",615,"Gd","TA","PConc","Ex","No","GLQ",110,"Unf",0,1588,1698,"Ex",1698,0,1698,0,2,0,3,"Ex",7,1,"Attchd","Fin",3,730,192,74,0,"6","WD","Normal",5,5,5,0,0,0
"19",1479,1479,"RL",14122,"IR1","Lvl","Inside","NridgHt","Norm","1Fam",8,5,"Hip","BrkFace",240,"Gd","TA","PConc","Ex","No","GLQ",28,"Unf",0,1794,1822,"Ex",1822,0,1822,0,2,0,3,"Ex",8,1,"Attchd","RFn",3,678,0,119,0,"2","WD","Normal",5,4,5,1,0,1
"20",1480,1480,"RL",14300,"Reg","HLS","Inside","NridgHt","Norm","1Fam",9,5,"Hip","BrkFace",791.280000000001,"Ex","TA","PConc","Ex","Gd","GLQ",1373,"Unf",0,1473,2155.05,"Ex",2219.46,0,2696,1,2,1,3,"Ex",10,2,"Attchd","Fin",3,958,220,150,0,"6","WD","Normal",7,6,7,1,0,1
"21",1481,1481,"RL",13650,"Reg","Lvl","Corner","NridgHt","Norm","1Fam",8,5,"Gable","BrkFace",232,"Gd","TA","PConc","Gd","Gd","GLQ",578,"Unf",0,1093,1671,"Ex",1687,563,2250,1,2,1,3,"Gd",7,1,"Attchd","Fin",3,756,238,130,0,"6","WD","Normal",8,8,8,0,0,0
"22",1482,1482,"RL",7132,"IR1","Lvl","Inside","NridgHt","Norm","TwnhsE",8,5,"Gable","Stone",178,"Gd","TA","PConc","Gd","Mn","GLQ",24,"Unf",0,1346,1370,"Ex",1370,0,1370,0,2,0,2,"Gd",6,1,"Attchd","RFn",2,484,120,49,0,"4","WD","Normal",4,4,4,0,0,0
"23",1483,1483,"RL",18494,"IR1","Lvl","Corner","Gilbert","Norm","1Fam",6,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,1324,1324,"Ex",1324,0,1324,0,2,0,3,"Gd",6,0,"Attchd","Fin",2,430,36,23,0,"1","WD","Normal",5,5,5,0,0,0
"24",1484,1484,"RL",3203,"Reg","Lvl","Inside","Blmngtn","Norm","TwnhsE",7,5,"Gable","BrkFace",14,"Gd","TA","PConc","Gd","Av","GLQ",16,"Unf",0,1129,1145,"Ex",1145,0,1145,0,2,0,2,"Gd",6,0,"Attchd","Fin",2,437,100,116,0,"1","WD","Normal",4,4,4,0,0,0
"25",1485,1485,"RL",13300,"IR1","Lvl","Inside","Gilbert","Norm","1Fam",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","GLQ",326,"Unf",0,58,384,"Ex",744,630,1374,1,2,1,3,"Gd",7,1,"BuiltIn","Fin",2,400,100,0,0,"6","WD","Normal",6,6,6,0,0,0
"26",1486,1486,"RL",8577,"IR1","Lvl","Inside","Gilbert","Norm","1Fam",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,847,847,"Ex",847,886,1733,0,2,1,3,"Gd",7,1,"BuiltIn","Fin",2,433,144,48,0,"4","WD","Normal",6,6,6,0,0,0
"27",1487,1487,"RL",17433,"IR2","Lvl","CulDSac","NoRidge","Norm","1Fam",8,5,"Hip","BrkFace",114,"Gd","TA","PConc","Ex","No","Unf",0,"Unf",0,1629,1629,"Ex",1645,830,2475,0,2,1,4,"Gd",7,1,"Attchd","Fin",3,962,23,172,0,"1","WD","Normal",12,12,12,0,0,0
"28",1488,1488,"RL",8987,"Reg","Lvl","Inside","Somerst","Norm","1Fam",8,5,"Gable","BrkFace",226,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,1595,1595,"Ex",1595,0,1595,0,2,0,2,"Gd",6,1,"Attchd","RFn",3,880,144,0,0,"5","WD","Normal",5,4,5,1,0,1
"29",1489,1489,"FV",9215,"Reg","Lvl","Inside","Somerst","Norm","1Fam",7,5,"Hip","None",0,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,1218,1218,"Ex",1218,0,1218,0,2,0,2,"Gd",4,0,"Attchd","RFn",2,676,0,136,0,"4","New","Partial",1,1,1,0,0,0
"30",1490,1490,"FV",10440,"Reg","Lvl","Corner","Somerst","Norm","1Fam",6,5,"Gable","None",0,"Gd","TA","PConc","Ex","No","GLQ",1414,"Unf",0,54,1468,"Ex",1468,0,1468,1,2,0,2,"Gd",6,1,"Attchd","Fin",2,528,0,102,0,"5","WD","Normal",5,5,5,0,0,0
"31",1491,1491,"RL",11920,"Reg","Lvl","Inside","SawyerW","Norm","1Fam",7,5,"Gable","BrkFace",122,"Gd","TA","PConc","Gd","Av","Unf",0,"Unf",0,831,831,"Ex",831,828,1659,0,2,1,3,"Gd",8,0,"Attchd","RFn",2,484,144,68,0,"4","WD","Normal",6,6,6,0,0,0
"32",1492,1492,"RH",9800,"Reg","Lvl","Corner","SawyerW","Feedr","1Fam",5,5,"Gable","None",0,"TA","Fa","BrkTil","TA","No","Unf",0,"Unf",0,816,816,"TA",1012,0,1012,0,1,0,2,"TA",5,0,"Detchd","Unf",1,429,121,0,80,"4","WD","Normal",90,60,90,30,0,30
"33",1493,1493,"RL",15410,"IR1","Lvl","CulDSac","Sawyer","RRNe","1Fam",6,6,"Hip","BrkCmn",250,"TA","Gd","CBlock","TA","Gd","BLQ",126,"GLQ",830.380000000001,223,1208,"Ex",1494,0,1494,1,2,0,3,"TA",7,2,"Attchd","Fin",2,461,296,0,186,"4","WD","Abnorml",36,8,36,28,0,28
"34",1494,1494,"RL",13143,"IR1","Lvl","Inside","NoRidge","Norm","1Fam",8,5,"Gable","BrkFace",504,"Gd","TA","PConc","Gd","No","LwQ",250,"GLQ",830.380000000001,0,1231,"Ex",1251,1098,2349,1,2,1,4,"Gd",9,1,"Attchd","RFn",3,762,32,130,0,"6","WD","Normal",17,17,17,0,0,0
"35",1495,1495,"RL",11134,"Reg","Lvl","Inside","NoRidge","Norm","1Fam",8,5,"Gable","BrkFace",180,"Gd","TA","PConc","Gd","No","GLQ",1129,"Unf",0,261,1390,"Ex",1402,823,2225,1,2,1,4,"Gd",7,1,"Attchd","RFn",3,713,198,30,0,"6","WD","Normal",18,17,18,1,0,1
"36",1496,1496,"FV",4835,"IR1","Lvl","CulDSac","Somerst","Norm","TwnhsE",7,5,"Gable","None",0,"Gd","TA","PConc","Ex","Av","GLQ",1298,"Unf",0,190,1488,"Ex",1488,0,1488,1,2,0,2,"Gd",6,1,"Attchd","Fin",2,506,168,50,0,"3","WD","Normal",6,5,6,1,0,1
