"","Y_train","MSZoning","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","SaleType","SaleCondition","Years_S_B","Years_S_R","Years_S_G","Years_B_R","Years_B_G","Years_R_G"
"1",208500,"RL",8450,"Reg","Lvl","Inside","CollgCr","Norm","1Fam",7,5,"Gable","BrkFace",196,"Gd","TA","PConc","Gd","No","GLQ",706,"Unf",0,150,856,"Ex",856,854,1710,1,2,1,3,"Gd",8,0,"Attchd","RFn",2,548,0,61,0,"2","WD","Normal",5,5,5,0,0,0
"2",181500,"RL",9600,"Reg","Lvl","FR2","Veenker","Feedr","1Fam",6,8,"Gable","None",0,"TA","TA","CBlock","Gd","Gd","ALQ",978,"Unf",0,284,1262,"Ex",1262,0,1262,0,2,0,3,"TA",6,1,"Attchd","RFn",2,460,298,0,0,"5","WD","Normal",31,31,31,0,0,0
"3",223500,"RL",11250,"IR1","Lvl","Inside","CollgCr","Norm","1Fam",7,5,"Gable","BrkFace",162,"Gd","TA","PConc","Gd","Mn","GLQ",486,"Unf",0,434,920,"Ex",920,866,1786,1,2,1,3,"Gd",6,1,"Attchd","RFn",2,608,0,42,0,"9","WD","Normal",7,6,7,1,0,1
"4",140000,"RL",9550,"IR1","Lvl","Corner","Crawfor","Norm","1Fam",7,5,"Gable","None",0,"TA","TA","BrkTil","TA","No","ALQ",216,"Unf",0,540,756,"Gd",961,756,1717,1,1,0,3,"Gd",7,1,"Detchd","Unf",3,642,0,35,261.05,"2","WD","Abnorml",91,36,8,55,83,-28
"5",250000,"RL",14260,"IR1","Lvl","FR2","NoRidge","Norm","1Fam",8,5,"Gable","BrkFace",350,"Gd","TA","PConc","Gd","Av","GLQ",655,"Unf",0,490,1145,"Ex",1145,1053,2198,1,2,1,4,"Gd",9,1,"Attchd","RFn",3,836,192,84,0,"12","WD","Normal",8,8,8,0,0,0
"6",143000,"RL",14115,"IR1","Lvl","Inside","Mitchel","Norm","1Fam",5,5,"Gable","None",0,"TA","TA","Wood","Gd","No","GLQ",732,"Unf",0,64,796,"Ex",796,566,1362,1,1,1,1,"TA",5,0,"Attchd","Unf",2,480,40,30,0,"10","WD","Normal",16,14,16,2,0,2
"7",307000,"RL",10084,"Reg","Lvl","Inside","Somerst","Norm","1Fam",8,5,"Gable","Stone",186,"Gd","TA","PConc","Ex","Av","GLQ",1369,"Unf",0,317,1686,"Ex",1694,0,1694,1,2,0,3,"Gd",7,1,"Attchd","RFn",2,636,255,57,0,"8","WD","Normal",3,2,3,1,0,1
"8",200000,"RL",10382,"IR1","Lvl","Corner","NWAmes","PosN","1Fam",7,6,"Gable","Stone",240,"TA","TA","CBlock","Gd","Mn","ALQ",859,"BLQ",32,216,1107,"Ex",1107,983,2090,1,2,1,3,"TA",7,2,"Attchd","RFn",2,484,235,204,228,"11","WD","Normal",36,36,36,0,0,0
"9",129900,"RM",6120,"Reg","Lvl","Inside","OldTown","Artery","1Fam",7,5,"Gable","None",0,"TA","TA","BrkTil","TA","No","Unf",0,"Unf",0,952,952,"Gd",1022,752,1774,0,2,0,2,"TA",8,2,"Detchd","Unf",2,468,90,0,205,"4","WD","Abnorml",77,58,77,19,0,19
"10",118000,"RL",7420,"Reg","Lvl","Corner","BrkSide","Artery","2fmCon",5,6,"Gable","None",0,"TA","TA","BrkTil","TA","No","GLQ",851,"Unf",0,140,991,"Ex",1077,0,1077,1,1,0,2,"TA",5,2,"Attchd","RFn",1,205,0,4,0,"1","WD","Normal",69,58,69,11,0,11
